hotel_name,url,locality,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
Constitution Inn,http://www.tripadvisor.com/Hotel_Review-g60745-d126058-Reviews-Constitution_Inn-Boston_Massachusetts.html,boston,825 ,3,2018/10/01,2018/11/12,$210,Expedia.ca,9,"Free Wifi,Pool,Hotel website"
Omni Parker House,http://www.tripadvisor.com/Hotel_Review-g60745-d89599-Reviews-Omni_Parker_House-Boston_Massachusetts.html,boston,8797 ,4,2018/10/01,2018/11/12,$248,Expedia.ca,9,"Restaurant,Room Service,Hotel website"
Hilton Boston Downtown / Faneuil Hall,http://www.tripadvisor.com/Hotel_Review-g60745-d94326-Reviews-Hilton_Boston_Downtown_Faneuil_Hall-Boston_Massachusetts.html,boston,2307 ,4,2018/10/01,2018/11/12,$276,Hilton.com,7,"Restaurant,Room Service,Hotel website"
Hyatt Regency Boston Harbor,http://www.tripadvisor.com/Hotel_Review-g60745-d89620-Reviews-Hyatt_Regency_Boston_Harbor-Boston_Massachusetts.html,boston,2900 ,4,2018/10/01,2018/11/12,$239,Hyatt.com,11,"Free Wifi,Restaurant"
DoubleTree by Hilton Hotel Boston - Downtown,http://www.tripadvisor.com/Hotel_Review-g60745-d217550-Reviews-DoubleTree_by_Hilton_Hotel_Boston_Downtown-Boston_Massachusetts.html,boston,1777 ,4,2018/10/01,2018/11/12,$334,Doubletree.com,9,"Free Wifi,Restaurant,Hotel website"
DoubleTree Suites by Hilton Boston-Cambridge,http://www.tripadvisor.com/Hotel_Review-g60745-d111422-Reviews-DoubleTree_Suites_by_Hilton_Boston_Cambridge-Boston_Massachusetts.html,boston,2005 ,4,2018/10/01,2018/11/12,$224,Doubletree.com,7,"Free Wifi,Pool,Hotel website"
Holiday Inn Express Hotel & Suites Boston Garden,http://www.tripadvisor.com/Hotel_Review-g60745-d1138709-Reviews-Holiday_Inn_Express_Hotel_Suites_Boston_Garden-Boston_Massachusetts.html,boston,584 ,3.5,2018/10/01,2018/11/12,$316,HIExpress.com,8,"Free Wifi,Breakfast included,Hotel website"
Colonnade Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d94371-Reviews-Colonnade_Hotel-Boston_Massachusetts.html,boston,3593 ,4.5,2018/10/01,2018/11/12,$316,Expedia.ca,10,"Free Wifi,Pool"
Eliot Hotel,http://www.tripadvisor.com/Hotel_Review-g60745-d111423-Reviews-Eliot_Hotel-Boston_Massachusetts.html,boston,1535 ,4.5,2018/10/01,2018/11/12,$346,Expedia.ca,9,"Free Wifi,Restaurant"
"Fairmont Copley Plaza, Boston",http://www.tripadvisor.com/Hotel_Review-g60745-d111444-Reviews-Fairmont_Copley_Plaza_Boston-Boston_Massachusetts.html,boston,3609 ,4.5,2018/10/01,2018/11/12,$357,Expedia.ca,11,"Restaurant,Room Service,Hotel website"
